historian,period_label,interest,year,publication_title
Ulrich Middeldorf,14th century,14th century,1973,Alcuni sigilli pisani del Trecento
Werner Cohn,14th century,14th century,1958,Notizie storiche intorno ad alcune tavole fiorentine del '300 e '400
Ulrich Middeldorf,14th century,14th century,1976,"Sculptures from the Samuel H. Kress Collection : European schools, XIV-XIX Century"
Werner Cohn,15th century,15th century,1960,Maestri sconosciuti del Quattrocento Fiorentino
Julian Kliemann,15th century,15th century,1993,Gesta dipinte : la grande decorazione nelle dimore italiane dal Quattrocento al Seicento
Ulrich Middeldorf,15th century,15th century,1976,"Sculptures from the Samuel H. Kress Collection : European schools, XIV-XIX Century"
Werner Cohn,15th century,15th century,1958,Notizie storiche intorno ad alcune tavole fiorentine del '300 e '400
Wolfgang Lotz,15th century,15th century,1974,Architecture in Italy 1400-1600
Ulrich Middeldorf,15th century,15th century,1981,"Maestri toscani del Quattrocento : Cosimo Rosselli, Botticelli, Botticini, Filippino Lippi, David Ghirlandaio, Raffaellino del Garbo, Tommaso, Piero di Cosimo"
Werner Cohn,15th century,15th century,1934,Untersuchungen zur Geschichte des deutschen Einblattholzschnitts im 2. Drittel des 15. Jahrhunderts
Luisa Vertova,15th century,15th century,1981,"Maestri toscani del Quattro e Cinquecento : Finiguerra, Pollaiuolo, Verrocchio, Ghirlandaio, Lorenzo di Credi, Francesco di Simone Ferrucci, Francesco di Giorgio, Leonardo, etc."
Wolfgang Lotz,15th century,15th century,1991,"Arquitectura en Italia, 1400-1600"
Ulrich Middeldorf,15th century,15th century,1975,Biblioteca di disegni: twenty-eight volumes of drawings by italian masters from the XVth to the XVIIIth century (3rd ed.)
Wolfgang Lotz,16th century,16th century,1995,"Architecture in Italy, 1500-1600"
Wolfgang Lotz,16th century,16th century,1974,Architecture in Italy 1400-1600
Julian Kliemann,16th century,16th century,2004,Fresques italiennes du XVIe siècle : de Michel-Ange aux Carrache : 1510-1600
Julian Kliemann,16th century,16th century,1993,Gesta dipinte : la grande decorazione nelle dimore italiane dal Quattrocento al Seicento
Everett Fahy,16th century,16th century,2005,The Wrightsman pictures
Wolfgang Lotz,16th century,16th century,1997,Architettura in Italia : 1500-1600
Wolfgang Lotz,16th century,16th century,1955,Die ovalen Kirchenräume des Cinquecento
Julian Kliemann,16th century,16th century,2004,Wandmalerei in Italien : die Zeit der Hochrenaissance und des Manierismus 1510-1600
Ulrich Middeldorf,16th century,16th century,1975,Biblioteca di disegni: twenty-eight volumes of drawings by italian masters from the XVth to the XVIIIth century (3rd ed.)
Wolfgang Lotz,16th century,16th century,1975,Galeazzo Alessi e l'architettura del Cinquecento : atti del convegno internazionale di studi Genova 16-20 Aprile 1974
Luisa Vertova,16th century,16th century,1981,"Maestri toscani del Quattro e Cinquecento : Finiguerra, Pollaiuolo, Verrocchio, Ghirlandaio, Lorenzo di Credi, Francesco di Simone Ferrucci, Francesco di Giorgio, Leonardo, etc."
Wolfgang Lotz,16th century,16th century,1958,Redefinitions of Style: Architecture in the Later 16th Century
Ulrich Middeldorf,16th century,16th century,1976,"Sculptures from the Samuel H. Kress Collection : European schools, XIV-XIX Century"
Ellis Waterhouse,16th century,16th century,1988,The dictionary of 16th century & 17th century British painters
Ulrich Middeldorf,17th century,17th century,1975,Biblioteca di disegni: twenty-eight volumes of drawings by italian masters from the XVth to the XVIIIth century (3rd ed.)
Wolfgang Lotz,17th century,17th century,1995,"Architecture in Italy, 1500-1600"
Ulrich Middeldorf,17th century,17th century,1976,"Sculptures from the Samuel H. Kress Collection : European schools, XIV-XIX Century"
Ellis Waterhouse,17th century,17th century,1937,Italian baroque painting
Ellis Waterhouse,17th century,17th century,1937,"Baroque painting in Rome, the 17th century"
Ellis Waterhouse,17th century,17th century,1988,The dictionary of 16th century & 17th century British painters
Stefano Tumidei,18th century,18th century,2016,Antonio Trentanove e la scultura del Settecento in Romagna
Ellis Waterhouse,18th century,18th century,1981,The dictionary of British 18th century painters in oils and crayons
Stefano Tumidei,18th century,18th century,1999,Un presepe napoletano del Settecento
Ulrich Middeldorf,18th century,18th century,1976,"Sculptures from the Samuel H. Kress Collection : European schools, XIV-XIX Century"
Ulrich Middeldorf,18th century,18th century,1975,Biblioteca di disegni: twenty-eight volumes of drawings by italian masters from the XVth to the XVIIIth century (3rd ed.)
Ulrich Middeldorf,19th century,19th century,1976,"Sculptures from the Samuel H. Kress Collection : European schools, XIV-XIX Century"
Kurt Badt,Baroque,Johannes Vermeer,1961,"Modell und Maler von Jan Vermeer, Probleme der Interpretation; eine Streitschrift gegen Hans Sedlmayr"
Ellis Waterhouse,Baroque,Baroque painting,1962,Italian baroque painting : with 200 illustrations
Ellis Waterhouse,Baroque,Baroque art,,"Notebooks and research files, 1801-1987 (bulk 1924-1979)."
Ellis Waterhouse,Baroque,Anthony van Dyck,1978,Anthony van Dyck : Suffer little children to come unto me = Antoine van Dyck : Laissez les enfants venir à moi
Ellis Waterhouse,Baroque,Baroque painting,1976,Roman baroque painting : a list of the principal painters and their works in and around Rome : with an introductory essay
Fritz Heinemann,Baroque,Baroque,1965,Zwischen Renaissance und Barock
Ellis Waterhouse,Baroque,Anthony van Dyck,1953,"Painting in Britain, 1530 to 1790"
Leo Steinberg,Baroque,San Carlo alle Quattro Fontane,1977,Borromini's San Carlo alle Quattro Fontane : a study in multiple form and architectural symbolism
John Pope-Hennessy,Baroque,Baroque sculpture,1963,Italian High Renaissance and Baroque sculpture
Ellis Waterhouse,Baroque,Baroque painting,1937,"Baroque painting in Rome, the 17th century"
Luisa Vertova,Baroque,Caravaggio,1994,"Caravaggio, his incongruity and his fame"
Everett Fahy,Baroque,Diego Velazquez,,Juan de Pareja by Diego Velazquez
Richard Krautheimer,Baroque,Baroque,,"Harald Keller papers, 1930-1989."
Everett Fahy,Baroque,Giovanni Battista Tiepolo,,The Wrightsman collection
Luisa Vertova,Baroque,Caravaggio,1990,Caravaggism in Europe
Leo Steinberg,Baroque,San Carlo alle Quattro Fontane,1960,San Carlo alle quattro Fontane : a study in multiple form and architectural symbolism
Julian Kliemann,Baroque,Caravaggio,2016,Frises peintes : les décors des villas et palais au Cinquecento : en hommage à Luigi De Cesaris et Julian Kliemann
Leo Steinberg,Baroque,Baroque art,2020,Renaissance and baroque art : selected essays
Leo Steinberg,Baroque,Peter Paul Rubens,,"Julius S. Held papers, ca. 1918-1999."
Julian Kliemann,Baroque,Baroque,2004,Italian frescoes : the high Renaissance to the Baroque
Stefano Tumidei,Baroque,Gian Lorenzo Bernini,1998,Bernini : la scultura in San Pietro
Ellis Waterhouse,Baroque,Baroque painting,1937,Italian baroque painting
Stefano Tumidei,Baroque,Palazzo San Giacomo,2004,La nobile villeggiatura : i Rasponi a Palazzo San Giacomo di Russi
Stefano Tumidei,Baroque,Gian Lorenzo Bernini,1998,Bernin : la sculpture à Saint-Pierre
John Pope-Hennessy,Baroque,Baroque,1969,Sculpture: Renaissance to rococo
Fritz Heinemann,Baroque,Francesco Guardi,1965,Mostra dei Guardi
Richard Krautheimer,Baroque,Baroque,1975,"The Rome of Alexander VII, 1655-1667"
Ulrich Middeldorf,Baroque,Baroque,,"Harald Keller papers, 1930-1989."
Werner Cohn,Baroque,Peter Paul Rubens,1951,Rubens
Richard Krautheimer,Baroque,Baroque architecture,,"Lectures on Baroque architecture, ca. 1950."
Luisa Vertova,Baroque,Caravaggio,1989,Caravaggism in Europe
Everett Fahy,Baroque,Juan de Pareja,1971,Juan de Pareja by Diego Velazquez : an appreciation of the portrait
Richard Krautheimer,Byzantine art,Byzantine architecture,1965,Early Christian and Byzantine architecture
Werner Cohn,Christian art,christian architecture,1958,Chiese di Ravenna
Richard Krautheimer,Christian art,Christian art,1965,Early Christian and Byzantine architecture
Richard Krautheimer,Christian art,christian architecture,1942,The Carolingian Revival of Early Christian Architecture
Richard Krautheimer,Christian art,Christian art,1969,"Studies in early Christian, Medieval, and Renaissance art"
Kurt Badt,classicism,Nicolas Poussin,1969,Die Kunst des Nicolas Poussin
Kurt Badt,classicism,Nicolas Poussin,1969,Ein angebliches Selbstbildnis von Nicolas Poussin
Everett Fahy,Dutch Golden Age painting,Johannes Vermeer,,The Wrightsman collection
Kurt Badt,Dutch Golden Age painting,Johannes Vermeer,1961,"Modell und Maler von Jan Vermeer, Probleme der Interpretation; eine Streitschrift gegen Hans Sedlmayr"
Fritz Heinemann,existentialism,existentialism,1957,Jenseits des Existentialismus: Studien zum Gestaltwandel der gegenwärtigen Philosophie
Federico Zeri,expressionism,Edvard Munch,2000,"Munch, the scream"
Kurt Badt,expressionism,Vincent van Gogh,1981,Die Farbenlehre van Goghs
Kurt Badt,expressionism,Vincent van Gogh,1961,Die Farbenlehre Van Goghs
Kurt Badt,expressionism,Ernst Barlach,1971,"Ernst Barlach, der Bildhauer"
Ulrich Middeldorf,Gothic art,Gothic sculpture,,"Harald Keller papers, 1930-1989."
Werner Cohn,Gothic art,Orsanmichele,1959,"Zur Ikonographie der Glasfenster von Orsanmichele, mit Zsfassung in ital. Sprache"
John Pope-Hennessy,Gothic art,Gothic sculpture,1952,Italian Gothic sculpture
Werner Cohn,Gothic art,Orsanmichele,1958,Franco Sacchetti und das ikonographische Programm der Gewölbemalereien von Orsanmichele
Richard Krautheimer,Gothic art,Gothic sculpture,,"Harald Keller papers, 1930-1989."
Werner Cohn,Gothic art,Orsanmichele,1957,La seconda immagine della Loggia di Orsanmichele
Richard Krautheimer,Impressionism,Impressionism,,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Impressionism,Henri Matisse,,"Belle Krasne Ribicoff papers, 1942-circa 2010, bulk 1945-2004."
Ulrich Middeldorf,Impressionism,Impressionism,,"Harald Keller papers, 1930-1989."
Federico Zeri,Impressionism,Henri Matisse,2000,"Matisse, la Danse"
Wolfgang Lotz,Mannerism,Giacomo Barozzi da Vignola,1938,Vignola-Zeichnungen
Wolfgang Lotz,Mannerism,Filippo Brunelleschi,1972,"Architecture in Italy, 1400 to 1600"
John Pope-Hennessy,Mannerism,Benvenuto Cellini,1985,Cellini
Julian Kliemann,Mannerism,Mannerism,2004,"Italian frescoes, high Renaissance and mannerism, 1510-1600"
Wolfgang Lotz,Mannerism,Federico Zuccari,1967,Der Palazzo Zuccari in Rom : ein Künstlerhaus des 16. Jahrhunderts als Sitz eines Max-Planck-Instituts
Kornél Fabriczy,Mannerism,Filippo Brunelleschi,1907,Brunelleschiana : Urkunden und Forschungen zur Biographie des Meisters
Wolfgang Lotz,Mannerism,Giacomo Barozzi da Vignola,1973,Mostra di Jacopo Barozzi detto il Vignola
Julian Kliemann,Mannerism,Mannerism,2004,Wandmalerei in Italien : die Zeit der Hochrenaissance und des Manierismus 1510-1600
Wolfgang Lotz,Mannerism,Giacomo Barozzi da Vignola,1939,Vignola-Studien. Beiträge zu einer Vignola-Monographie
John Pope-Hennessy,Mannerism,Paolo Uccello,1950,The complete work of Paolo Uccello
Kornél Fabriczy,Mannerism,Filippo Brunelleschi,1892,Filippo Brunelleschi : Sein Leben und seine Werke
Wolfgang Lotz,Mannerism,Giacomo Barozzi da Vignola,1938,Vignola-Studien
Everett Fahy,Mannerism,Donatello,2011,"Gesichter der Renaissance Meisterwerke italienischer Portrait-Kunst ; [anlässlich der Ausstellung ""Gesichter der Renaissance. Meisterwerke Italienischer Portrait-Kunst"", Bode-Museum, Berlin (25.08.2011 - 20.11.2011) ; Metropolitan Museum of Art, New York (19.12.2011 - 18.03.2012)]"
Ulrich Middeldorf,Mannerism,Benvenuto Cellini,1984,A corpus of Italian medals of the renaissance before Cellini
Luisa Vertova,Mannerism,Lorenzo Lotto,1955,Lotto
Stefano Tumidei,Mannerism,Federico Zuccari,2011,Studi sulla pittura in Emilia e in Romagna : da Melozzo a Federico Zuccari : 1987-2008
Richard Krautheimer,Mannerism,Lorenzo Ghiberti,1970,Lorenzo Ghiberti: Volume II
John Pope-Hennessy,Mannerism,Donatello,1993,Donatello : sculptor
Richard Krautheimer,Mannerism,Lorenzo Ghiberti,1971,Ghiberti's bronze doors
John Pope-Hennessy,Mannerism,Mannerism,1969,Sculpture: Renaissance to rococo
John Pope-Hennessy,Mannerism,Paolo Uccello,1969,"Paolo Uccello, complete edition"
Richard Krautheimer,Mannerism,Lorenzo Ghiberti,1956,Lorenzo Ghiberti
Richard Krautheimer,medieval art,medieval art,1042,"Introduction à une ""iconographie de l'architecture médiévale"""
Stefano Tumidei,medieval art,medieval art,2000,Duecento : forme e colori del Medioevo a Bologna
Richard Krautheimer,medieval art,medieval art,1969,"Studies in early Christian, Medieval, and Renaissance art"
Richard Krautheimer,Middle Ages,Middle Ages,1979,"Rome, profile of a city, 312-1308"
John Pope-Hennessy,Middle Ages,Middle Ages,1969,Sculpture: Renaissance to rococo
Richard Krautheimer,modern art,Auguste Rodin,,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Wolfgang Lotz,modern art,Auguste Rodin,,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,modern art,Auguste Rodin,1972,Other criteria : confrontations with twentieth-century art
Leo Steinberg,modern art,Robert Rauschenberg,2000,Encounters with Rauschenberg : (a lavishly illustrated lecture)
Leo Steinberg,modern art,modern art,2020,Renaissance and baroque art : selected essays
Leo Steinberg,modern art,Auguste Rodin,,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,modern art,Auguste Rodin,1991,Le retour de Rodin
Leo Steinberg,modern art,Robert Rauschenberg,2002,Robert Rauschenberg
Leo Steinberg,modern art,Auguste Rodin,1963,"Auguste Rodin, 1840-1917 : an exhibition of sculptures and drawings [May 6-June 26, 1963]"
Leo Steinberg,Neo-Dada,Jasper Johns,1972,Other criteria : confrontations with twentieth-century art
Wolfgang Lotz,Neo-Dada,Jasper Johns,,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1962,Jasper Johns
John Pope-Hennessy,Neo-Dada,Jasper Johns,,"Director's Office Records of Receptions, Events, and Lectures, 1957-1989."
Richard Krautheimer,Neo-Dada,Jasper Johns,,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Stefano Tumidei,neoclassicism,neoclassicism,2016,Antonio Trentanove e la scultura del Settecento in Romagna
Ellis Waterhouse,neoclassicism,Joshua Reynolds,1941,Reynolds
Ellis Waterhouse,neoclassicism,Joshua Reynolds,1953,"Painting in Britain, 1530 to 1790"
Stefano Tumidei,neoclassicism,neoclassicism,2016,Antonio Trentanove e la scultura del Settecento in Romagna
Ellis Waterhouse,neoclassicism,Joshua Reynolds,1941,Reynolds
Ellis Waterhouse,neoclassicism,Joshua Reynolds,1953,"Painting in Britain, 1530 to 1790"
Kurt Badt,Post-Impressionism,Paul Cezanne,1936,The art of Cezanne
Kurt Badt,Post-Impressionism,Paul Cezanne,1943,Czanne's Watercolour Technique
Kurt Badt,Post-Impressionism,Vincent van Gogh,1961,Die Farbenlehre Van Goghs
Kurt Badt,Post-Impressionism,Paul Cezanne,1971,Das Spatwerk Cezannes. (Vortr.)
Federico Zeri,Post-Impressionism,Paul Cezanne,2000,"Cezanne, Mont Sainte-Victoire"
Federico Zeri,Post-Impressionism,Henri Matisse,2000,"Matisse, la Danse"
Ulrich Middeldorf,Post-Impressionism,Franklin C. Watkins,,"E.P. (Edgar Preston) Richardson papers, 1893-1994."
Richard Krautheimer,Post-Impressionism,Henri Matisse,,"Belle Krasne Ribicoff papers, 1942-circa 2010, bulk 1945-2004."
Federico Zeri,Renaissance,Sacred and Profane Love,2000,"Titian, sacred and profane love"
Everett Fahy,Renaissance,Leonardo da Vinci,2011,"Gesichter der Renaissance Meisterwerke italienischer Portrait-Kunst ; [anlässlich der Ausstellung ""Gesichter der Renaissance. Meisterwerke Italienischer Portrait-Kunst"", Bode-Museum, Berlin (25.08.2011 - 20.11.2011) ; Metropolitan Museum of Art, New York (19.12.2011 - 18.03.2012)]"
Fritz Heinemann,Renaissance,Giovanni Bellini,1962,Giovanni Bellini e i belliniani
Julian Kliemann,Renaissance,High Renaissance,2004,Italian frescoes : the high Renaissance to the Baroque
Ulrich Middeldorf,Renaissance,Filippo Lippi,,"Heim Gallery records, 1965-1991."
Richard Krautheimer,Renaissance,Renaissance,1956,Lorenzo Ghiberti
Wolfgang Lotz,Renaissance,Leon Battista Alberti,1972,"Architecture in Italy, 1400 to 1600"
Werner Cohn,Renaissance,Renaissance,1960,Maestri sconosciuti del Quattrocento Fiorentino
Leo Steinberg,Renaissance,Michelangelo,2020,Renaissance and baroque art : selected essays
Fritz Heinemann,Renaissance,Titian,1928,Titian: Die zwei ersten Jahrzehnte seiner künstlerischen Entwicklung
Werner Cohn,Renaissance,Fra Angelico,1955,Il Beato Angelico e Battista di Biagio Sanguigni
Everett Fahy,Renaissance,Titian,2008,Art and love in Renaissance Italy
Werner Cohn,Renaissance,Albrecht Durer,1958,"Albrecht Durer, 1471-1528"
Everett Fahy,Renaissance,Italian Renaissance,1979,The legacy of Leonardo : Italian Renaissance paintings from Leningrad
Aby Warburg,Renaissance,Sandro Botticelli,1892,La Naissance de Vénus & Le Printemps de Sandro Botticelli étude des représentations de l'Antiquité dans la première Renaissance italienne
Kornél Fabriczy,Renaissance,Filippo Brunelleschi,1892,Filippo Brunelleschi : Sein Leben und seine Werke
Ulrich Middeldorf,Renaissance,Filippo Lippi,1981,"Maestri toscani del Quattrocento : Cosimo Rosselli, Botticelli, Botticini, Filippino Lippi, David Ghirlandaio, Raffaellino del Garbo, Tommaso, Piero di Cosimo"
John Pope-Hennessy,Renaissance,Renaissance,1963,Italian High Renaissance and Baroque sculpture
Julian Kliemann,Renaissance,Renaissance,2004,Italian frescoes : the high Renaissance to the Baroque
John Pope-Hennessy,Renaissance,Michelangelo,1969,Sculpture: Renaissance to rococo
Richard Krautheimer,Renaissance,Renaissance,1969,"Studies in early Christian, Medieval, and Renaissance art"
Federico Zeri,Renaissance,Sandro Botticelli,2000,"Botticelli, Allegory of spring"
Ernst Steinmann,Renaissance,Pinturicchio,1898,Pinturicchio
Stefano Tumidei,Renaissance,Renaissance,2005,Marco Palmezzano : il Rinascimento nelle Romagne
Ernst Steinmann,Renaissance,Sistine Chapel,1901,Die Sixtinische Kapelle
Julian Kliemann,Renaissance,Renaissance,2004,Wandmalerei in Italien : die Zeit der Hochrenaissance und des Manierismus 1510-1600
Julian Kliemann,Renaissance,Michelangelo,2010,Michelangelo und die Fassade von San Lorenzo in Florenz : zur Geschichte der Skulpturenfassade der Renaissance
Leo Steinberg,Renaissance,Renaissance,2020,Renaissance and baroque art : selected essays
