subject,hasOtherObjectType,hasMainObjectType
Fototeca Julian Kliemann,postcard,
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei",,manuscript
Nachlass Werner Cohn,,document
Gustav Ludwig-Vermächtnis,,personal document
Fototeca Stefano Tumidei,archive document,
Nachlass Cornelius von Fabriczy,,photograph
Gustav Ludwig-Vermächtnis,,note
Ellis K. Waterhouse notebooks and research files,,catalogue
Gustav Ludwig-Vermächtnis,newspaper clipping,
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei",,newspaper clipping
Leo Steinberg research papers,,correspondence
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei",typescript,
Nachlass Ulrich Middeldorf,photograph,
Gustav Ludwig-Vermächtnis,,bibliographic card
Nachlass Ernst Steinmann,,typescript
Fondo Aby Warburg,,archive document
Fototeca Stefano Tumidei,,photograph
Fondo Aby Warburg,photograph,
Nachlass Werner Cohn,photograph,
Fototeca Julian Kliemann,,photograph
Leo Steinberg research papers,photograph,
Ulrich Middledorf papers,postcard,
Gustav Ludwig-Vermächtnis,photograph,
Fototeca Zeri,archive document,
Gustav Ludwig-Vermächtnis,,press draft
Archivio Luisa Vertova,,archive document
Nachlass Ernst Steinmann,,archive document
Nachlass Kurt Badt,,correspondence
Nachlass Ulrich Middeldorf,,notes
Ellis K. Waterhouse notebooks and research files,microfiche,
Nachlass Richard Krautheimer,,photograph
Nachlass Ulrich Middeldorf,,letter
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei",correspondence,
Fototeca Zeri,,photograph
Nachlass Ulrich Middeldorf,,card
Nachlass Kurt Badt,,notes
John Pope-Hennessy papers,,photograph
Nachlass Ernst Steinmann,,manuscript
Gustav Ludwig-Vermächtnis,,letter
Fondo Aby Warburg,note,
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei",,printed matter
Archivio Luisa Vertova,photograph,
Nachlass Cornelius von Fabriczy,,Notes
Nachlass Richard Krautheimer,,typescript
Nachlass Kurt Badt,,newspaper clipping
Ellis K. Waterhouse notebooks and research files,archive document,
Nachlass Kurt Badt,,TypeScript
Ellis K. Waterhouse notebooks and research files,manuscript,
Gustav Ludwig-Vermächtnis,,transcription
Ulrich Middledorf papers,,journal
Gustav Ludwig-Vermächtnis,sketch,
Ulrich Middledorf papers,,clipping
Gustav Ludwig-Vermächtnis,collage,
Fototeca Fahy,,archive document
Nachlass Richard Krautheimer,,manuscript
Fototeca Fahy,photograph,
Nachlass Richard Krautheimer,,offprint
Leo Steinberg research papers,,notebook
Ellis K. Waterhouse notebooks and research files,,notebook
Nachlass Ulrich Middeldorf,,typescript
John Pope-Hennessy papers,,negative
Ellis K. Waterhouse notebooks and research files,,photograph
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei",,Notes
Ulrich Middledorf papers,,correspondence
Ulrich Middledorf papers,,offprint
John Pope-Hennessy papers,,archive document
Nachlass Kurt Badt,,printed matter
Leo Steinberg research papers,,photographic print
Ellis K. Waterhouse notebooks and research files,drawing,
Ulrich Middledorf papers,,book
Ulrich Middledorf papers,photograph,