historian,interest,type,subtype
Everett Fahy,Renaissance illumination of books and manuscripts,"genres, materials, techniques",technique
John Pope-Hennessy,High Renaissance,"genres, materials, techniques",genre
John Pope-Hennessy,Renaissance portraits,"genres, materials, techniques",technique
Richard Krautheimer,Renaissance Art,"genres, materials, techniques",genre
Ernst Steinmann,Italian Renaissance,"genres, materials, techniques",genre
Aby Warburg,Italian Renaissance,"genres, materials, techniques",genre
Julian Kliemann,High Renaissance,"genres, materials, techniques",genre
Julian Kliemann,perspective,"genres, materials, techniques",genre
Ernst Steinmann,Renaissance painting,"genres, materials, techniques",technique
Everett Fahy,Renaissance,"genres, materials, techniques",genre
Luisa Vertova,Renaissance drawing,"genres, materials, techniques",technique
Ulrich Middeldorf,Renaissance bronzes,"genres, materials, techniques",material
John Pope-Hennessy,Renaissance portrait painting,"genres, materials, techniques",technique
Leo Steinberg,Renaissance Art,"genres, materials, techniques",genre
Leo Steinberg,Renaissance sculpture,"genres, materials, techniques",technique
Aby Warburg,Renaissance Art,"genres, materials, techniques",genre
Wolfgang Lotz,Renaissance Art,"genres, materials, techniques",genre
Julian Kliemann,Renaissance Art,"genres, materials, techniques",genre
Kurt Badt,Properzia de' Rossi,person,sculptor
Kurt Badt,perspective,"genres, materials, techniques",genre
Richard Krautheimer,Renaissance architecture,"genres, materials, techniques",technique
Ulrich Middeldorf,Renaissance Society,"genres, materials, techniques",genre
Julian Kliemann,Renaissance sculpture,"genres, materials, techniques",technique
Everett Fahy,Renaissance portraits,"genres, materials, techniques",technique
Richard Krautheimer,Renaissance,"genres, materials, techniques",genre
Richard Krautheimer,High Renaissance,"genres, materials, techniques",genre
Leo Steinberg,Renaissance christian art and symbolism,"genres, materials, techniques",genre
Stefano Tumidei,Renaissance Art,"genres, materials, techniques",genre
Wolfgang Lotz,Renaissance painting,"genres, materials, techniques",technique
Julian Kliemann,Renaissance decoration and ornament - themes and motives,"genres, materials, techniques",technique
Everett Fahy,Renaissance portrait painting,"genres, materials, techniques",technique
Federico Zeri,Renaissance,"genres, materials, techniques",genre
Leo Steinberg,Renaissance,"genres, materials, techniques",genre
Julian Kliemann,Renaissance,"genres, materials, techniques",genre
Luisa Vertova,Renaissance painting,"genres, materials, techniques",technique
John Pope-Hennessy,Italian Renaissance,"genres, materials, techniques",genre
John Pope-Hennessy,Renaissance painting,"genres, materials, techniques",technique
Aby Warburg,Renaissance,"genres, materials, techniques",genre
Ernst Steinmann,Renaissance,"genres, materials, techniques",genre
Ernst Steinmann,Renaissance Art,"genres, materials, techniques",genre
Julian Kliemann,Renaissance art - themes and motives,"genres, materials, techniques",genre
Kornél Fabriczy,Renaissance Art,"genres, materials, techniques",genre
Stefano Tumidei,Renaissance,"genres, materials, techniques",genre
Ulrich Middeldorf,Renaissance drawing,"genres, materials, techniques",technique
Ellis Waterhouse,Renaissance painting,"genres, materials, techniques",technique
Julian Kliemann,Renaissance mural painting and decoration - themes and motives,"genres, materials, techniques",technique
John Pope-Hennessy,Renaissance bronzes,"genres, materials, techniques",material
Julian Kliemann,Italian Renaissance,"genres, materials, techniques",genre
Julian Kliemann,Renaissance painting,"genres, materials, techniques",technique
Everett Fahy,Renaissance painting,"genres, materials, techniques",technique
John Pope-Hennessy,Renaissance illumination of books and manuscripts,"genres, materials, techniques",technique
Stefano Tumidei,Renaissance painting,"genres, materials, techniques",technique
Ulrich Middeldorf,Renaissance textile fabrics,"genres, materials, techniques",material
Ulrich Middeldorf,Renaissance sculpture,"genres, materials, techniques",technique
Ulrich Middeldorf,Renaissance medals,"genres, materials, techniques",material
Werner Cohn,Renaissance,"genres, materials, techniques",genre
Fritz Heinemann,Renaissance,"genres, materials, techniques",genre
Kornél Fabriczy,Renaissance,"genres, materials, techniques",genre
Luisa Vertova,Renaissance Art,"genres, materials, techniques",genre
John Pope-Hennessy,Renaissance Art,"genres, materials, techniques",genre
Leo Steinberg,Renaissance painting,"genres, materials, techniques",technique
Kornél Fabriczy,Renaissance medals,"genres, materials, techniques",material
Ulrich Middeldorf,Italian Renaissance,"genres, materials, techniques",genre
Federico Zeri,Renaissance painting,"genres, materials, techniques",technique
Ulrich Middeldorf,Renaissance relief sculpture,"genres, materials, techniques",technique
Kurt Badt,Leon Battista Alberti,person,architect
Kurt Badt,Leon Battista Alberti,person,sculptor
Kurt Badt,Leon Battista Alberti,person,painter
Wolfgang Lotz,Renaissance architecture,"genres, materials, techniques",technique
Fritz Heinemann,Renaissance painting,"genres, materials, techniques",technique
Ulrich Middeldorf,Renaissance,"genres, materials, techniques",genre
Ulrich Middeldorf,Renaissance plaques and plaquettes,"genres, materials, techniques",material
Wolfgang Lotz,Renaissance,"genres, materials, techniques",genre
Kurt Badt,Raphael,person,painter
Kurt Badt,Raphael,person,sculptor
Kurt Badt,Raphael,person,architect
Everett Fahy,Raphael,person,painter
Everett Fahy,Raphael,person,sculptor
Everett Fahy,Raphael,person,architect
Federico Zeri,Renaissance Art,"genres, materials, techniques",genre
Kurt Badt,Paolo Veronese,person,painter
Everett Fahy,Renaissance panel painting,"genres, materials, techniques",technique
Julian Kliemann,Renaissance mural painting and decoration,"genres, materials, techniques",technique
Luisa Vertova,Renaissance,"genres, materials, techniques",genre
Everett Fahy,Renaissance Art,"genres, materials, techniques",genre
John Pope-Hennessy,Renaissance,"genres, materials, techniques",genre
Everett Fahy,Renaissance portrait sculpture,"genres, materials, techniques",technique
Kurt Badt,Andrea Solari,person,painter
John Pope-Hennessy,Renaissance sculpture,"genres, materials, techniques",technique
Werner Cohn,Lorenzo Ghiberti,person,sculptor
Werner Cohn,Lorenzo Ghiberti,person,painter
Werner Cohn,Lorenzo Ghiberti,person,architect
Everett Fahy,Leonardo da Vinci,person,sculptor
Everett Fahy,Leonardo da Vinci,person,painter
Everett Fahy,Leonardo da Vinci,person,architect
Everett Fahy,Leonardo da Vinci,person,caricaturist
Everett Fahy,El Greco,person,painter
Everett Fahy,El Greco,person,sculptor
Everett Fahy,El Greco,person,architect
Everett Fahy,El Greco,person,artist
Kornél Fabriczy,Giuliano da Sangallo,person,architect
Kornél Fabriczy,Giuliano da Sangallo,person,sculptor
Kornél Fabriczy,Da Sangallo family,person,
Werner Cohn,Bernardino Luini,person,painter
Werner Cohn,Lucas Cranach the Elder,person,printmaker
Werner Cohn,Lucas Cranach the Elder,person,painter
Werner Cohn,Filippo Lippi,person,painter
Kurt Badt,Felice Feliciano,person,drawer
Werner Cohn,Albrecht Durer,person,painter
Werner Cohn,Albrecht Durer,person,engraver
Werner Cohn,Albrecht Durer,person,illuminator
Werner Cohn,Albrecht Durer,person,drawer
Werner Cohn,Albrecht Durer,person,printmaker
Kornél Fabriczy,Amico Aspertini,person,painter
Kornél Fabriczy,Amico Aspertini,person,sculptor
Kornél Fabriczy,Amico Aspertini,person,illuminator
Everett Fahy,Domenico Ghirlandaio,person,painter
Everett Fahy,Rosselli family,person,
Kornél Fabriczy,Filippo Brunelleschi,person,sculptor
Kornél Fabriczy,Filippo Brunelleschi,person,architect
Kornél Fabriczy,Michelangelo,person,sculptor
Kornél Fabriczy,Michelangelo,person,draftsperson
Kornél Fabriczy,Michelangelo,person,painter
Kornél Fabriczy,Michelangelo,person,architect
Everett Fahy,Bernardo di Stefano Rosselli,person,painter
Werner Cohn,Hans Holbein,person,painter
Werner Cohn,Hans Holbein,person,engraver
Kornél Fabriczy,Michelozzo,person,sculptor
Kornél Fabriczy,Michelozzo,person,architect
Wolfgang Lotz,Galeazzo Alessi,person,architect
Wolfgang Lotz,Leon Battista Alberti,person,architect
Wolfgang Lotz,Leon Battista Alberti,person,sculptor
Wolfgang Lotz,Leon Battista Alberti,person,painter
Wolfgang Lotz,Michelangelo,person,draftsperson
Wolfgang Lotz,Michelangelo,person,sculptor
Wolfgang Lotz,Michelangelo,person,painter
Wolfgang Lotz,Michelangelo,person,architect
Wolfgang Lotz,Leonardo da Vinci,person,painter
Wolfgang Lotz,Leonardo da Vinci,person,architect
Wolfgang Lotz,Leonardo da Vinci,person,sculptor
Wolfgang Lotz,Leonardo da Vinci,person,caricaturist
Wolfgang Lotz,Filippo Brunelleschi,person,sculptor
Wolfgang Lotz,Filippo Brunelleschi,person,architect
Wolfgang Lotz,Palazzo Zuccari,artifact,building
Wolfgang Lotz,Giacomo Barozzi da Vignola,person,architect
Wolfgang Lotz,Andrea Palladio,person,architect
Wolfgang Lotz,Giacomo della Porta,person,architect
Wolfgang Lotz,Giacomo della Porta,person,sculptor
Gustav Ludwig,Vittore Carpaccio,person,painter
Richard Krautheimer,Lorenzo Ghiberti,person,architect
Richard Krautheimer,Lorenzo Ghiberti,person,sculptor
Richard Krautheimer,Lorenzo Ghiberti,person,painter
Richard Krautheimer,St. Peter's Basilica,artifact,building
Julian Kliemann,Basilica of San Lorenzo,artifact,building
Julian Kliemann,Federico Zuccari,person,painter
Julian Kliemann,Federico Zuccari,person,architect
Julian Kliemann,Giorgio Vasari,person,painter
Aby Warburg,Giorgio Vasari,person,painter
Julian Kliemann,Giorgio Vasari,person,architect
Aby Warburg,Giorgio Vasari,person,architect
Fritz Heinemann,Giovanni di Niccolo Mansueti,person,painter
Fritz Heinemann,Vittore Carpaccio,person,painter
Fritz Heinemann,Bellini family,person,
Fritz Heinemann,Paolo Veronese,person,painter
Fritz Heinemann,Giovanni Bellini,person,illuminator
Fritz Heinemann,Giovanni Bellini,person,painter
Fritz Heinemann,Titian,person,drawer
Fritz Heinemann,Titian,person,painter
Julian Kliemann,Michelangelo,person,draftsperson
Julian Kliemann,Michelangelo,person,sculptor
Julian Kliemann,Michelangelo,person,painter
Julian Kliemann,Michelangelo,person,architect
Julian Kliemann,Castello Orsini-Odescalchi,artifact,building
Julian Kliemann,Villa Medici,artifact,building
Aby Warburg,Villa Medici,artifact,building
Aby Warburg,Palazzo Schifanoia,artifact,building
Everett Fahy,Fra Bartolomeo,person,painter
Everett Fahy,Michele Tosini,person,painter
Everett Fahy,Tornabuoni Chapel,artifact,building
Everett Fahy,Benedetto Ghirlandaio,person,painter
Everett Fahy,Sandro Botticelli,person,painter
Everett Fahy,Sandro Botticelli,person,artist
Everett Fahy,Cosimo Rosselli,person,painter
Everett Fahy,Sassetti Chapel,artifact,building
Everett Fahy,Sistine Chapel,artifact,building
Everett Fahy,Jacopo da Sellaio,person,painter
Everett Fahy,Bartolomeo di Giovanni,person,painter
Everett Fahy,Apollonio di Giovanni,person,painter
Everett Fahy,Apollonio di Giovanni,person,illuminator
Everett Fahy,Ridolfo del Ghirlandaio,person,painter
Everett Fahy,Santa Fina Chapel,artifact,building
Everett Fahy,Venetian school,"genres, materials, techniques",genre
Federico Zeri,Venetian school,"genres, materials, techniques",genre
Werner Cohn,Lorenzo Ghiberti,person,architect
Werner Cohn,Lorenzo Ghiberti,person,sculptor
Werner Cohn,Lorenzo Ghiberti,person,painter
Werner Cohn,Fra Angelico,person,painter
Werner Cohn,Fra Angelico,person,illuminator
Stefano Tumidei,Federico Zuccari,person,painter
Stefano Tumidei,Federico Zuccari,person,architect
Stefano Tumidei,Michelangelo,person,draftsperson
Stefano Tumidei,Michelangelo,person,painter
Stefano Tumidei,Michelangelo,person,sculptor
Stefano Tumidei,Michelangelo,person,architect
Ulrich Middeldorf,Raphael,person,painter
Ulrich Middeldorf,Raphael,person,sculptor
Ulrich Middeldorf,Raphael,person,architect
Ulrich Middeldorf,Cosimo Rosselli,person,painter
Ulrich Middeldorf,Filippo Lippi,person,painter
Ulrich Middeldorf,Piero di Cosimo,person,painter
Ulrich Middeldorf,Sandro Botticelli,person,painter
Ulrich Middeldorf,Sandro Botticelli,person,artist
Gustav Ludwig,Titian,person,painter
Gustav Ludwig,Titian,person,drawer
Gustav Ludwig,Giovanni Bellini,person,illuminator
Gustav Ludwig,Giovanni Bellini,person,painter
Gustav Ludwig,Johann of Cologne,person,painter
Gustav Ludwig,Paris Bordone,person,painter
Gustav Ludwig,Titian's school,"genres, materials, techniques",genre
John Pope-Hennessy,Raphael,person,painter
John Pope-Hennessy,Raphael,person,sculptor
John Pope-Hennessy,Raphael,person,architect
John Pope-Hennessy,Fra Angelico,person,painter
John Pope-Hennessy,Fra Angelico,person,illuminator
John Pope-Hennessy,Donatello,person,sculptor
John Pope-Hennessy,Donatello,person,painter
John Pope-Hennessy,Donatello,person,artist
John Pope-Hennessy,Michelangelo,person,draftsperson
John Pope-Hennessy,Michelangelo,person,sculptor
John Pope-Hennessy,Michelangelo,person,architect
John Pope-Hennessy,Michelangelo,person,painter
John Pope-Hennessy,Sandro Botticelli,person,painter
John Pope-Hennessy,Sandro Botticelli,person,artist
John Pope-Hennessy,Paolo Uccello,person,painter
John Pope-Hennessy,Paolo Uccello,person,mosaicist
John Pope-Hennessy,Luca della Robbia,person,ceramicist
John Pope-Hennessy,Luca della Robbia,person,sculptor
Leo Steinberg,Titian,person,drawer
Leo Steinberg,Titian,person,painter
Leo Steinberg,Cappella Paolina,artifact,building
Leo Steinberg,The Last Supper,artifact,artwork
Leo Steinberg,Michelangelo,person,draftsperson
Leo Steinberg,Michelangelo,person,architect
Leo Steinberg,Michelangelo,person,sculptor
Leo Steinberg,Michelangelo,person,painter
Leo Steinberg,The Creation of Adam,artifact,artwork
Leo Steinberg,The Crucifixion of St. Peter,artifact,artwork
Leo Steinberg,The Conversion of Saul,artifact,artwork
Leo Steinberg,Cappella Paolina,artifact,building
Ernst Steinmann,Apostolic Palace,artifact,building
Stefano Tumidei,Melozzo da Forlì,person,painter
Stefano Tumidei,Melozzo da Forlì,person,architect
Ernst Steinmann,St. Peter's Basilica,artifact,building
Ernst Steinmann,Pinturicchio,person,painter
Ernst Steinmann,Pinturicchio,person,illuminator
Ernst Steinmann,Domenico Ghirlandaio,person,painter
Stefano Tumidei,Marco Palmezzano,person,painter
Stefano Tumidei,Marco Palmezzano,person,architect
Ernst Steinmann,Michelangelo,person,draftsperson
Ernst Steinmann,Michelangelo,person,painter
Ernst Steinmann,Michelangelo,person,sculptor
Ernst Steinmann,Michelangelo,person,architect
Leo Steinberg,Leonardo da Vinci,person,painter
Leo Steinberg,Leonardo da Vinci,person,architect
Leo Steinberg,Leonardo da Vinci,person,sculptor
Leo Steinberg,Leonardo da Vinci,person,caricaturist
Ernst Steinmann,Sistine Chapel,artifact,building
Ernst Steinmann,Sandro Botticelli,person,painter
Ernst Steinmann,Sandro Botticelli,person,artist
Ernst Steinmann,Palazzetto Zuccari,artifact,building
Leo Steinberg,Sistine Chapel,artifact,building
Luisa Vertova,Titian,person,drawer
Luisa Vertova,Titian,person,painter
Luisa Vertova,Lorenzo Lotto,person,painter
Luisa Vertova,Bernardino Licinio,person,painter
Luisa Vertova,Giulio Licinio,person,painter
Luisa Vertova,Fra Angelico,person,painter
Luisa Vertova,Fra Angelico,person,illuminator
Luisa Vertova,Leonardo da Vinci,person,caricaturist
Luisa Vertova,Leonardo da Vinci,person,painter
Luisa Vertova,Leonardo da Vinci,person,architect
Luisa Vertova,Leonardo da Vinci,person,sculptor
Luisa Vertova,Andrea Mantegna,person,painter
Luisa Vertova,Andrea Mantegna,person,illuminator
Luisa Vertova,Andrea Mantegna,person,sculptor
Luisa Vertova,Andrea Mantegna,person,engraver
Stefano Tumidei,St. Peter's Basilica,artifact,building
Ellis Waterhouse,El Greco,person,painter
Ellis Waterhouse,El Greco,person,sculptor
Ellis Waterhouse,El Greco,person,architect
Ellis Waterhouse,El Greco,person,artist
Ellis Waterhouse,Giorgione,person,painter
Luisa Vertova,Giorgione,person,painter
Luisa Vertova,Paolo Veronese,person,painter
Aby Warburg,Leonardo da Vinci,person,painter
Aby Warburg,Leonardo da Vinci,person,architect
Aby Warburg,Leonardo da Vinci,person,sculptor
Aby Warburg,Leonardo da Vinci,person,caricaturist
Luisa Vertova,Giovanni Bellini,person,illuminator
Luisa Vertova,Giovanni Bellini,person,painter
Aby Warburg,Sandro Botticelli,person,painter
Aby Warburg,Sandro Botticelli,person,artist
Federico Zeri,Jacopino del Conte,person,painter
Federico Zeri,Jacopino del Conte,person,drawer
Federico Zeri,Donato de' Bardi,person,painter
Federico Zeri,Carlo Crivelli,person,painter
Federico Zeri,Primavera,artifact,artwork
Federico Zeri,Fra Carnevale,person,painter
Federico Zeri,Giotto di Bondone,person,painter
Federico Zeri,Giotto di Bondone,person,architect
Federico Zeri,Scipione Pulzone,person,painter
Federico Zeri,Donatello,person,sculptor
Federico Zeri,Donatello,person,painter
Federico Zeri,Donatello,person,artist
Federico Zeri,Sandro Botticelli,person,painter
Federico Zeri,Sandro Botticelli,person,artist
Federico Zeri,Titian,person,drawer
Federico Zeri,Titian,person,painter
Federico Zeri,Sacred and Profane Love,artifact,artwork
Ellis Waterhouse,Titian,person,drawer
Ellis Waterhouse,Titian,person,painter